User_ID,Experience_Level,Category,Platform,Enrollment_Date,Completion_Date,Hours_Spent_Per_Week,Course_Duration_Weeks,Videos_Watched,Assignments_Submitted,Quiz_Score,Engagement_Score,Completion_Status,Completion_Percentage,Certificate_Issued,Dropout_Reason,Satisfaction_Score
U0043,Fresher,Tableau,Coursera,04/01/2024,06/03/2024,12,16,117,10,80,84,Completed,56,Yes,No Dropout,4
U0044,Student,Power BI,Skillshare,07/30/2024,,12,20,19,0,35,13,Dropped,7,No,Lost Interest,1
U0045,Fresher,Artificial Intelligence,Udemy,11/13/2024,12/20/2024,15,6,118,9,88,90,Completed,78,Yes,No Dropout,5
U0046,Fresher,Tableau,Udemy,01/10/2025,,2,22,39,5,51,13,Dropped,37,No,Too Difficult,2
U0047,Student,Statistics,edX,10/26/2024,,11,15,59,2,48,10,Dropped,7,No,Time Constraint,3
U0048,Fresher,Data Science,Coursera,12/26/2024,,7,12,32,3,35,40,Dropped,9,No,Time Constraint,1
U0049,Student,Power BI,Coursera,08/20/2024,12/15/2024,11,2,96,8,80,97,Completed,94,Yes,No Dropout,5
U0050,Working Professional,Tableau,Coursera,11/14/2024,,6,10,43,1,44,31,Dropped,8,No,No Dropout,3
U0051,Working Professional,Data Science,edX,12/29/2024,04/20/2025,12,2,89,10,77,90,Completed,49,Yes,No Dropout,4
U0052,Fresher,Statistics,YouTube,03/20/2025,06/12/2025,17,17,73,7,82,80,Completed,81,Yes,No Dropout,5
U0053,Working Professional,Artificial Intelligence,Skillshare,07/03/2024,,15,17,22,5,58,25,Dropped,36,No,Time Constraint,2
U0054,Working Professional,Power BI,Coursera,10/16/2024,02/13/2025,8,11,81,8,86,95,Completed,35,Yes,No Dropout,4
U0055,Working Professional,Artificial Intelligence,Udemy,04/02/2025,,9,13,39,2,53,29,Dropped,31,No,Time Constraint,2
U0056,Working Professional,Statistics,edX,05/23/2024,,6,4,60,5,45,58,In Progress,55,No,No Dropout,3
U0057,Working Professional,Statistics,edX,06/19/2024,09/16/2024,9,16,77,7,95,83,Completed,55,Yes,No Dropout,5
U0058,Fresher,Data Science,Udemy,08/03/2024,,5,14,26,3,62,46,In Progress,80,No,No Dropout,3
U0059,Student,SQL,Udemy,10/11/2024,,16,2,40,2,33,33,Dropped,7,No,No Dropout,3
U0060,Working Professional,Python,Udemy,08/08/2024,,11,10,41,1,54,68,In Progress,41,No,No Dropout,3
U0061,Student,Power BI,YouTube,09/28/2024,,20,20,58,2,36,25,Dropped,33,No,Lost Interest,3
U0062,Fresher,Power BI,Coursera,10/02/2024,,5,2,43,3,62,14,Dropped,29,No,Lost Interest,2
U0063,Working Professional,Data Science,Coursera,10/26/2024,02/16/2025,19,23,98,8,81,99,Completed,87,Yes,No Dropout,5
U0064,Student,Artificial Intelligence,Skillshare,04/11/2025,,11,23,44,4,55,46,In Progress,98,No,No Dropout,3
U0065,Student,Power BI,Skillshare,08/29/2024,,6,23,55,4,47,13,Dropped,25,No,Lost Interest,2
U0066,Student,Tableau,Coursera,02/09/2025,,12,8,57,0,61,48,In Progress,96,No,No Dropout,4
U0067,Working Professional,Data Science,Udemy,02/11/2024,,18,5,33,4,58,12,Dropped,6,No,Too Difficult,2
U0068,Working Professional,Power BI,Coursera,03/26/2024,,20,15,23,3,62,67,In Progress,54,No,No Dropout,4
U0069,Working Professional,Tableau,Udemy,04/07/2025,,1,18,38,2,63,45,In Progress,96,No,No Dropout,4
U0070,Working Professional,SQL,Skillshare,12/04/2024,03/21/2025,7,22,78,10,86,79,Completed,84,Yes,No Dropout,4
U0071,Fresher,Data Science,edX,10/06/2024,01/09/2025,4,7,103,10,95,100,Completed,34,Yes,No Dropout,4
U0072,Student,Statistics,YouTube,05/09/2025,,16,17,43,3,50,19,Dropped,20,No,No Dropout,1
U0073,Fresher,Power BI,Coursera,02/08/2025,,3,18,49,2,29,39,Dropped,19,No,No Dropout,1
U0074,Student,Machine Learning,YouTube,10/26/2024,,13,20,31,5,65,64,In Progress,51,No,No Dropout,3
U0075,Student,Statistics,YouTube,10/12/2024,,3,17,19,1,63,58,In Progress,96,No,No Dropout,3
U0076,Working Professional,Power BI,edX,05/20/2024,08/11/2024,20,24,101,9,79,83,Completed,67,Yes,No Dropout,4
U0077,Working Professional,Statistics,Udemy,09/30/2024,01/13/2025,12,16,74,10,89,87,Completed,36,Yes,No Dropout,4
U0078,Working Professional,Statistics,edX,06/05/2024,,18,18,51,1,54,32,Dropped,38,No,Too Difficult,2
U0079,Working Professional,Python,Skillshare,09/11/2024,12/09/2024,20,5,82,7,94,76,Completed,76,Yes,No Dropout,4
U0080,Student,Data Science,edX,02/18/2024,,6,17,53,0,38,22,Dropped,17,No,Lost Interest,3
U0081,Working Professional,Artificial Intelligence,YouTube,03/04/2025,,3,22,52,2,65,53,In Progress,52,No,No Dropout,3
U0082,Fresher,Statistics,Udemy,06/08/2024,07/17/2024,8,13,114,8,90,76,Completed,67,Yes,No Dropout,4
U0083,Working Professional,Python,edX,05/23/2024,,9,11,14,3,48,23,Dropped,30,No,Too Difficult,1
U0084,Student,Machine Learning,Coursera,12/16/2024,,1,4,60,2,50,59,In Progress,58,No,No Dropout,3
U0085,Student,Data Science,Udemy,09/02/2024,10/11/2024,15,23,78,8,82,93,Completed,97,Yes,No Dropout,5
U0086,Student,Data Science,Udemy,01/25/2024,,8,18,44,3,47,24,Dropped,25,No,Too Difficult,3
U0087,Fresher,SQL,Udemy,06/26/2024,,2,2,21,1,27,56,In Progress,94,No,No Dropout,4
U0088,Fresher,Tableau,YouTube,07/30/2024,,10,11,54,2,46,25,Dropped,13,No,Time Constraint,3
U0089,Working Professional,Tableau,edX,06/23/2024,09/08/2024,9,20,87,9,99,91,Completed,92,Yes,No Dropout,5
U0090,Fresher,Statistics,edX,01/18/2025,,13,11,60,3,33,65,In Progress,76,No,No Dropout,3
U0091,Student,Machine Learning,edX,12/03/2024,,9,10,44,4,27,60,In Progress,75,No,No Dropout,3
U0092,Student,Power BI,YouTube,04/02/2024,05/10/2024,11,8,95,10,89,79,Completed,96,Yes,No Dropout,5
U0093,Fresher,Artificial Intelligence,Coursera,01/13/2025,04/07/2025,4,10,85,10,80,96,Completed,34,Yes,No Dropout,5
U0094,Student,Statistics,edX,06/13/2024,08/20/2024,3,9,107,9,94,77,Completed,31,Yes,No Dropout,5
U0095,Working Professional,Data Science,Coursera,04/21/2024,08/08/2024,15,21,96,9,96,97,Completed,73,Yes,No Dropout,4
U0096,Working Professional,Statistics,YouTube,07/21/2024,10/30/2024,6,11,83,9,74,84,Completed,73,Yes,No Dropout,4
U0097,Fresher,Statistics,Udemy,06/26/2024,,2,11,22,3,46,52,In Progress,63,No,No Dropout,3
U0098,Student,Statistics,YouTube,04/09/2024,,4,12,41,5,54,37,Dropped,29,No,No Dropout,3
U0099,Fresher,SQL,Skillshare,05/11/2024,,12,23,16,0,33,10,Dropped,11,No,Time Constraint,2
U0100,Student,Statistics,YouTube,04/28/2024,,13,8,35,0,38,50,In Progress,35,No,No Dropout,3
U0101,Fresher,Tableau,Coursera,03/23/2025,,17,2,60,2,46,41,Dropped,36,No,Time Constraint,1
U0102,Working Professional,Artificial Intelligence,Udemy,10/24/2024,01/31/2025,20,17,118,7,94,92,Completed,64,Yes,No Dropout,5
U0103,Working Professional,SQL,YouTube,02/07/2025,,7,17,57,2,63,46,In Progress,73,No,No Dropout,3
U0104,Student,Power BI,Udemy,12/18/2024,02/20/2025,20,12,75,10,98,96,Completed,38,Yes,No Dropout,4
U0105,Working Professional,Power BI,Skillshare,04/29/2024,,6,5,15,3,33,62,In Progress,85,No,No Dropout,4
U0106,Working Professional,Tableau,Coursera,07/31/2024,,14,13,17,3,48,61,In Progress,56,No,No Dropout,3
U0107,Student,Python,YouTube,11/27/2024,,19,10,26,4,31,39,Dropped,11,No,Too Difficult,1
U0108,Fresher,Data Science,YouTube,01/28/2024,04/03/2024,14,2,96,7,86,91,Completed,97,Yes,No Dropout,4
U0109,Working Professional,Data Science,Skillshare,07/31/2024,,3,18,15,4,25,53,In Progress,78,No,No Dropout,3
U0110,Fresher,Artificial Intelligence,YouTube,01/04/2025,,20,22,36,0,39,36,Dropped,34,No,Too Difficult,2
U0111,Student,SQL,Coursera,09/19/2024,,18,6,17,3,37,19,Dropped,10,No,Time Constraint,3
U0112,Working Professional,Tableau,edX,03/26/2025,,15,10,44,2,28,19,Dropped,22,No,Time Constraint,3
U0113,Fresher,Artificial Intelligence,Coursera,04/17/2025,,5,12,17,5,65,10,Dropped,8,No,Time Constraint,1
U0114,Working Professional,Power BI,Skillshare,01/22/2024,,14,20,54,4,43,61,In Progress,81,No,No Dropout,3
U0115,Student,Machine Learning,Skillshare,04/12/2025,06/29/2025,12,15,110,7,83,94,Completed,57,Yes,No Dropout,5
U0116,Student,SQL,Coursera,12/01/2024,01/09/2025,13,23,120,9,86,91,Completed,59,Yes,No Dropout,4
U0117,Working Professional,SQL,edX,10/08/2024,,7,22,15,2,58,42,Dropped,24,No,Time Constraint,1
U0118,Fresher,Power BI,Coursera,05/01/2025,08/07/2025,13,22,94,7,83,85,Completed,36,Yes,No Dropout,5
U0119,Student,Tableau,Coursera,04/10/2024,05/19/2024,8,12,76,7,76,88,Completed,71,Yes,No Dropout,5
U0120,Working Professional,SQL,Udemy,03/19/2025,04/28/2025,7,6,86,10,96,90,Completed,71,Yes,No Dropout,4
U0121,Fresher,Tableau,Udemy,09/03/2024,,3,19,50,0,58,32,Dropped,40,No,Lost Interest,1
U0122,Fresher,Statistics,Skillshare,03/31/2024,,17,19,23,4,57,62,In Progress,67,No,No Dropout,4
U0123,Student,Data Science,Coursera,12/13/2024,02/04/2025,18,5,93,10,73,76,Completed,91,Yes,No Dropout,5
U0124,Fresher,Python,edX,10/11/2024,,6,5,40,5,36,42,Dropped,19,No,No Dropout,3
U0125,Working Professional,Data Science,Coursera,04/15/2025,,3,16,25,3,32,74,In Progress,83,No,No Dropout,3
U0126,Working Professional,Statistics,Udemy,08/22/2024,,10,23,19,2,39,48,In Progress,84,No,No Dropout,3
U0127,Fresher,SQL,edX,09/18/2024,12/02/2024,6,2,93,10,85,84,Completed,74,Yes,No Dropout,4
U0128,Working Professional,SQL,Udemy,01/22/2024,,10,4,54,4,65,15,Dropped,26,No,Time Constraint,2
U0129,Student,Statistics,Udemy,11/28/2024,,18,23,41,0,28,38,Dropped,25,No,Lost Interest,2
U0130,Student,Python,YouTube,01/14/2025,03/27/2025,14,6,82,10,74,97,Completed,67,Yes,No Dropout,4
U0131,Fresher,Power BI,YouTube,08/27/2024,,20,7,34,1,31,56,In Progress,34,No,No Dropout,3
U0132,Working Professional,Power BI,Coursera,08/29/2024,,6,18,27,1,54,53,In Progress,71,No,No Dropout,3
U0133,Student,SQL,Udemy,03/26/2025,05/03/2025,12,20,112,10,84,80,Completed,75,Yes,No Dropout,4
U0134,Working Professional,Statistics,Coursera,03/26/2025,,12,19,11,2,49,47,In Progress,91,No,No Dropout,4
U0135,Student,Data Science,YouTube,08/23/2024,10/28/2024,6,9,117,9,100,100,Completed,50,Yes,No Dropout,4
U0136,Student,Power BI,YouTube,03/26/2024,05/01/2024,2,10,88,7,70,98,Completed,77,Yes,No Dropout,4
U0137,Fresher,Data Science,YouTube,02/12/2024,,13,15,60,1,58,19,Dropped,23,No,Time Constraint,3
U0138,Working Professional,Tableau,Udemy,07/14/2024,08/14/2024,19,24,107,8,70,81,Completed,66,Yes,No Dropout,4
U0139,Working Professional,Power BI,YouTube,02/11/2024,05/25/2024,7,23,111,7,75,96,Completed,61,Yes,No Dropout,5
U0140,Student,Python,Skillshare,09/17/2024,10/31/2024,17,20,100,10,90,89,Completed,61,Yes,No Dropout,4
U0141,Fresher,Statistics,YouTube,12/03/2024,,5,12,16,0,25,57,In Progress,91,No,No Dropout,4
U0142,Working Professional,Power BI,Udemy,12/12/2024,,18,10,22,4,58,59,In Progress,91,No,No Dropout,3
U0143,Working Professional,Power BI,Udemy,03/27/2025,,2,21,29,5,28,40,Dropped,18,No,Time Constraint,3
U0144,Fresher,SQL,edX,01/02/2024,03/27/2024,16,13,97,10,93,77,Completed,71,Yes,No Dropout,4
U0145,Working Professional,SQL,edX,04/23/2025,,1,19,29,1,56,62,In Progress,93,No,No Dropout,3
U0146,Student,Data Science,edX,05/13/2025,,1,8,10,3,45,67,In Progress,55,No,No Dropout,3
U0147,Fresher,Python,edX,06/21/2024,,19,15,16,4,56,69,In Progress,84,No,No Dropout,4
U0148,Working Professional,Machine Learning,Udemy,03/09/2025,,2,12,39,5,34,43,Dropped,33,No,No Dropout,3
U0149,Fresher,Power BI,edX,01/07/2025,,16,16,53,1,33,51,In Progress,91,No,No Dropout,3
U0150,Fresher,Python,YouTube,01/15/2024,02/18/2024,14,19,117,10,72,84,Completed,95,Yes,No Dropout,5
U0151,Working Professional,Python,Udemy,01/06/2024,,6,20,20,3,46,64,In Progress,97,No,No Dropout,4
U0152,Fresher,Tableau,Udemy,04/12/2025,,11,5,21,2,53,66,In Progress,93,No,No Dropout,4
U0153,Student,Machine Learning,edX,08/29/2024,,3,18,14,4,25,12,Dropped,22,No,Too Difficult,1
U0154,Fresher,Power BI,Skillshare,11/26/2024,01/15/2025,12,14,77,7,75,87,Completed,56,Yes,No Dropout,5
U0155,Student,Power BI,YouTube,11/25/2024,,10,16,32,4,36,36,Dropped,12,No,Too Difficult,1
U0156,Student,Artificial Intelligence,Udemy,12/12/2024,,13,6,36,3,63,50,In Progress,86,No,No Dropout,3
U0157,Fresher,Data Science,Coursera,03/13/2025,,2,23,26,2,27,18,Dropped,31,No,No Dropout,2
U0158,Fresher,Python,Skillshare,11/08/2024,,20,3,34,0,44,43,Dropped,17,No,Lost Interest,3
U0159,Working Professional,SQL,Udemy,01/03/2025,,9,24,27,5,32,50,In Progress,91,No,No Dropout,4
U0160,Working Professional,Artificial Intelligence,edX,03/02/2025,,5,13,47,2,55,63,In Progress,86,No,No Dropout,3
U0161,Student,Data Science,edX,02/19/2024,05/19/2024,5,14,109,10,72,77,Completed,74,Yes,No Dropout,4
U0162,Working Professional,Machine Learning,Udemy,10/31/2024,,16,9,43,2,60,45,Dropped,8,No,Too Difficult,2
U0163,Fresher,Power BI,Skillshare,03/26/2025,,18,11,38,4,46,31,Dropped,26,No,No Dropout,1
U0164,Working Professional,SQL,Skillshare,01/24/2025,,8,4,58,3,37,13,Dropped,30,No,No Dropout,3
U0165,Fresher,SQL,Udemy,07/10/2024,,6,23,29,3,52,54,In Progress,63,No,No Dropout,4
U0166,Fresher,Artificial Intelligence,edX,05/10/2025,,6,5,12,4,46,34,Dropped,35,No,No Dropout,3
U0167,Student,Data Science,edX,03/04/2025,,8,16,36,4,38,22,Dropped,23,No,No Dropout,2
U0168,Fresher,Statistics,Coursera,03/08/2025,06/16/2025,17,9,101,8,76,77,Completed,44,Yes,No Dropout,4
U0169,Working Professional,Data Science,Coursera,10/16/2024,,12,13,42,4,57,11,Dropped,35,No,Too Difficult,3
U0170,Working Professional,Tableau,Skillshare,12/27/2024,,16,24,13,0,34,65,In Progress,78,No,No Dropout,3
U0171,Fresher,Python,Udemy,03/22/2025,,15,13,34,0,63,23,Dropped,28,No,Lost Interest,2
U0172,Student,SQL,Coursera,04/30/2025,07/31/2025,15,18,100,10,70,86,Completed,57,Yes,No Dropout,5
U0173,Student,Tableau,Skillshare,06/21/2024,,11,4,43,5,35,63,In Progress,45,No,No Dropout,4
U0174,Fresher,Data Science,Udemy,12/14/2024,,20,24,35,5,56,71,In Progress,94,No,No Dropout,3
U0175,Student,Statistics,edX,06/02/2024,,13,18,29,4,52,74,In Progress,93,No,No Dropout,3
U0176,Working Professional,Data Science,edX,02/22/2024,05/04/2024,5,6,101,8,93,81,Completed,39,Yes,No Dropout,4
U0177,Student,Statistics,YouTube,03/18/2024,07/05/2024,16,9,102,9,75,95,Completed,65,Yes,No Dropout,4
U0178,Working Professional,Artificial Intelligence,Coursera,10/21/2024,,11,4,44,5,38,38,Dropped,28,No,Too Difficult,1
U0179,Working Professional,Statistics,Skillshare,04/21/2025,,9,16,49,3,38,22,Dropped,8,No,Time Constraint,3
U0180,Working Professional,Machine Learning,edX,02/20/2024,,13,19,25,1,53,54,In Progress,54,No,No Dropout,3
U0181,Working Professional,Python,edX,10/25/2024,,4,22,45,2,52,24,Dropped,16,No,Too Difficult,3
U0182,Fresher,Artificial Intelligence,edX,02/29/2024,,5,4,22,5,40,44,Dropped,6,No,Too Difficult,3
U0183,Student,Statistics,Coursera,06/05/2024,,8,13,55,5,32,40,Dropped,34,No,Time Constraint,2
U0184,Fresher,Power BI,Coursera,05/16/2024,,11,23,32,0,40,24,Dropped,18,No,Lost Interest,1
U0185,Fresher,Machine Learning,Udemy,11/25/2024,,10,3,34,3,45,20,Dropped,10,No,Too Difficult,2
U0186,Working Professional,SQL,YouTube,01/14/2025,03/05/2025,14,17,92,8,90,97,Completed,36,Yes,No Dropout,5
U0187,Working Professional,Power BI,Udemy,04/22/2024,,8,9,19,5,52,50,In Progress,58,No,No Dropout,4
U0188,Working Professional,Python,edX,03/18/2024,,7,18,25,1,62,34,Dropped,32,No,Lost Interest,3
U0189,Working Professional,Machine Learning,edX,01/14/2025,,12,4,39,0,58,67,In Progress,55,No,No Dropout,4
U0190,Student,Power BI,Coursera,05/10/2025,,13,13,22,2,42,42,Dropped,9,No,Time Constraint,3
U0191,Student,Statistics,YouTube,04/28/2024,,12,9,35,2,44,60,In Progress,86,No,No Dropout,3
U0192,Fresher,Power BI,Coursera,07/25/2024,09/13/2024,5,15,111,10,70,79,Completed,43,Yes,No Dropout,5
U0193,Fresher,Python,Coursera,01/28/2024,04/18/2024,5,20,105,9,86,85,Completed,61,Yes,No Dropout,5
U0194,Fresher,Python,Udemy,07/21/2024,,14,21,30,3,37,66,In Progress,52,No,No Dropout,3
U0195,Working Professional,SQL,edX,05/07/2024,,15,24,22,4,65,53,In Progress,48,No,No Dropout,3
U0196,Working Professional,Machine Learning,Skillshare,03/27/2025,,8,20,19,0,45,70,In Progress,56,No,No Dropout,3
U0197,Fresher,Artificial Intelligence,Coursera,06/01/2024,,2,8,10,5,52,45,Dropped,29,No,Lost Interest,1
U0198,Student,Tableau,YouTube,12/02/2024,01/21/2025,8,21,105,9,78,97,Completed,65,Yes,No Dropout,4
U0199,Working Professional,Artificial Intelligence,YouTube,04/23/2025,,2,19,17,2,42,33,Dropped,20,No,No Dropout,2
U0200,Fresher,Data Science,Udemy,04/28/2024,,16,8,23,3,26,51,In Progress,39,No,No Dropout,4
U0201,Student,Artificial Intelligence,Udemy,02/22/2024,,14,22,21,4,56,27,Dropped,37,No,Time Constraint,3
U0202,Working Professional,Tableau,YouTube,10/29/2024,01/15/2025,6,18,114,9,91,91,Completed,61,Yes,No Dropout,4
U0203,Working Professional,SQL,Udemy,03/10/2024,,4,14,55,2,63,75,In Progress,61,No,No Dropout,4
U0204,Fresher,Statistics,Skillshare,01/22/2024,,7,7,15,3,29,75,In Progress,42,No,No Dropout,3
U0205,Working Professional,Python,YouTube,09/15/2024,12/30/2024,18,9,117,7,97,94,Completed,63,Yes,No Dropout,4
U0206,Fresher,SQL,YouTube,03/22/2024,,13,9,52,3,40,67,In Progress,30,No,No Dropout,3
U0207,Working Professional,Python,Udemy,04/26/2025,,5,4,41,2,49,70,In Progress,31,No,No Dropout,4
U0208,Fresher,Machine Learning,Udemy,06/26/2024,,3,8,25,4,56,47,In Progress,86,No,No Dropout,4
U0209,Student,Data Science,YouTube,07/18/2024,09/15/2024,17,3,100,9,98,77,Completed,41,Yes,No Dropout,4
U0210,Student,Statistics,YouTube,02/01/2025,,4,10,17,1,33,66,In Progress,69,No,No Dropout,4
U0211,Fresher,Statistics,Coursera,02/01/2025,,12,17,19,2,61,74,In Progress,92,No,No Dropout,4
U0212,Student,Artificial Intelligence,Udemy,05/27/2024,,3,14,12,4,62,48,In Progress,46,No,No Dropout,4
U0213,Working Professional,Power BI,Coursera,03/05/2024,06/07/2024,11,17,91,10,92,76,Completed,99,Yes,No Dropout,4
U0214,Student,Data Science,Udemy,02/27/2024,,16,23,22,3,59,19,Dropped,12,No,Time Constraint,1
U0215,Student,Power BI,Coursera,08/15/2024,,14,12,17,0,37,15,Dropped,33,No,Too Difficult,3
U0216,Fresher,Artificial Intelligence,YouTube,07/18/2024,,16,19,23,4,27,66,In Progress,36,No,No Dropout,3
U0217,Fresher,Data Science,edX,04/06/2025,05/08/2025,13,4,111,7,90,78,Completed,58,Yes,No Dropout,4
U0218,Fresher,Power BI,edX,03/05/2024,,2,20,26,2,42,70,In Progress,48,No,No Dropout,3
U0219,Student,Machine Learning,Coursera,01/23/2025,,9,16,19,3,38,28,Dropped,29,No,No Dropout,3
U0220,Fresher,Python,Udemy,04/15/2025,06/10/2025,12,6,118,8,82,95,Completed,77,Yes,No Dropout,5
U0221,Fresher,SQL,Udemy,08/01/2024,,15,17,10,0,54,20,Dropped,18,No,Time Constraint,2
U0222,Fresher,SQL,Coursera,10/03/2024,,4,18,53,5,29,65,In Progress,76,No,No Dropout,4
U0223,Working Professional,Artificial Intelligence,Udemy,03/24/2025,06/15/2025,7,22,104,10,75,96,Completed,68,Yes,No Dropout,4
U0224,Fresher,Data Science,edX,08/21/2024,11/25/2024,9,16,86,10,71,96,Completed,74,Yes,No Dropout,4
U0225,Fresher,Machine Learning,Skillshare,10/14/2024,,1,15,55,2,50,21,Dropped,32,No,Lost Interest,2
U0226,Fresher,SQL,Coursera,05/24/2024,,16,9,23,5,39,17,Dropped,6,No,Time Constraint,1
U0227,Fresher,Statistics,Udemy,09/01/2024,,4,17,53,3,44,43,Dropped,40,No,No Dropout,3
U0228,Fresher,Python,Skillshare,07/16/2024,,10,10,42,0,30,62,In Progress,31,No,No Dropout,4
U0229,Working Professional,Data Science,YouTube,01/11/2025,,3,4,55,5,26,46,In Progress,56,No,No Dropout,3
U0230,Working Professional,Python,Coursera,01/01/2024,,12,3,33,2,47,17,Dropped,35,No,Lost Interest,1
U0231,Student,Statistics,Coursera,02/28/2024,,20,10,17,0,49,70,In Progress,89,No,No Dropout,3
U0232,Student,Artificial Intelligence,Udemy,03/06/2024,,16,16,56,1,51,32,Dropped,32,No,Lost Interest,3
U0233,Student,Power BI,Udemy,12/03/2024,,20,21,55,1,58,43,Dropped,30,No,Too Difficult,3
U0234,Working Professional,Python,Skillshare,10/05/2024,,3,4,40,5,51,55,In Progress,30,No,No Dropout,3
